City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Pierre,US,2022-03-29 05:32:11,44.3683,-100.351,43.86,40,0,25.32
94,Hualmay,PE,2022-03-29 05:32:11,-11.0964,-77.6139,69.96,85,100,9.08
95,Aquiraz,BR,2022-03-29 05:32:11,-3.9014,-38.3911,78.89,91,88,7.49
96,Iracoubo,GF,2022-03-29 05:32:12,5.4802,-53.2011,77.92,80,100,12.64
97,Burgos,ES,2022-03-29 05:32:12,42.3394,-3.7079,41.41,93,40,2.3
98,Georgetown,MY,2022-03-29 05:30:06,5.4112,100.3354,89.53,79,20,9.22
99,Zhigansk,RU,2022-03-29 05:32:13,66.7697,123.3711,11.66,77,71,5.14
100,Bloemfontein,ZA,2022-03-29 05:32:14,-29.1211,26.214,53.08,94,0,2.3
101,Rivadavia,AR,2022-03-29 05:30:42,-33.1905,-68.4608,67.24,51,0,1.72
102,Hachioji,JP,2022-03-29 05:32:14,35.6558,139.3239,53.49,56,100,5.75
103,Klaksvik,FO,2022-03-29 05:32:15,62.2266,-6.589,31.12,60,100,19.22
104,Nizwa,OM,2022-03-29 05:32:15,22.9333,57.5333,88.88,15,0,5.28
105,Siniscola,IT,2022-03-29 05:32:16,40.5719,9.6922,40.55,73,100,4.92
106,Talnakh,RU,2022-03-29 05:32:16,69.4865,88.3972,15.21,91,100,12.46
107,Lerwick,GB,2022-03-29 05:32:16,60.1545,-1.1494,37.4,65,96,14.54
108,Carnarvon,AU,2022-03-29 05:32:17,-24.8667,113.6333,84.27,65,75,13.8
109,Lata,PT,2022-03-29 05:32:17,40.1629,-8.3327,55.08,81,100,1.54
110,Souillac,MU,2022-03-29 05:32:18,-20.5167,57.5167,80.98,74,20,3.44
111,Luanda,AO,2022-03-29 05:32:18,-8.8368,13.2343,76.51,89,100,6.02
112,Grindavik,IS,2022-03-29 05:32:19,63.8424,-22.4338,37.87,75,75,10.36
113,Kalach-Na-Donu,RU,2022-03-29 05:32:19,48.691,43.5264,43.54,61,31,27.34
114,Mnogovershinnyy,RU,2022-03-29 05:32:20,53.9353,139.9242,29.39,73,94,5.37
115,Bluff,NZ,2022-03-29 05:32:20,-46.6,168.3333,61.05,77,94,4.21
116,Thompson,CA,2022-03-29 05:32:20,55.7435,-97.8558,19.56,73,100,5.75
117,Samarai,PG,2022-03-29 05:32:21,-10.6167,150.6667,85.32,67,99,7.16
118,Bongandanga,CD,2022-03-29 05:32:21,1.5,21.05,75.0,78,100,4.88
119,Liwale,TZ,2022-03-29 05:32:22,-9.7667,37.9333,74.62,89,94,6.71
120,Majene,ID,2022-03-29 05:32:22,-3.5403,118.9707,87.31,57,74,7.38
121,Sao Joaquim,BR,2022-03-29 05:32:22,-28.2939,-49.9317,50.86,99,30,3.11
122,Iqaluit,CA,2022-03-29 05:32:23,63.7506,-68.5145,10.13,92,100,6.91
123,Gloversville,US,2022-03-29 05:28:46,43.0528,-74.3438,17.15,75,99,8.99
124,Kaitangata,NZ,2022-03-29 05:32:24,-46.2817,169.8464,58.77,84,98,4.88
125,Omboue,GA,2022-03-29 05:32:24,-1.5746,9.2618,76.32,91,100,10.49
126,Atuona,PF,2022-03-29 05:32:24,-9.8,-139.0333,79.23,79,97,15.39
127,Provideniya,RU,2022-03-29 05:32:25,64.3833,-173.3,12.36,73,0,8.99
128,Bambous Virieux,MU,2022-03-29 05:32:25,-20.3428,57.7575,84.22,74,20,3.44
129,Saint-Georges,GD,2022-03-29 05:30:45,12.0564,-61.7485,76.68,83,20,14.97
